Fierro,Cromo,Aluminio,Cobre,Plomo,Nickel,Plata,Estano,Titanio,Vanadio,Cadmio,Manganeso,Sodio,Potasio,Silicio,Zinc,Bario,Boro,Calcio,Molibdeno,Magnesio,Fosforo,v 40,Contenido agua,Índice PQ,Oxidacion,Partículas > 4um,Partículas > 6um,Partículas > 14um,Family,Estado,Diagnostic,Comentario,Recomendacion,
305835,4.6,0.1,0.1,2.1,0.8,0.1,0.1,0.6,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,2.4,0.1,0.1,171,325.45,0,5,3.41,59773,13379,2215,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, grado
 de viscosidad y degradación normales en lubricante. Particulado
 en suspensión según código ISO 23/21/18 elevado para la operación.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación, de igual forma en MP
 implementar proceso de micro filtrado para reducir particulado en suspensión."
35359,8.9,0.1,0.2,7.4,13.4,0.1,0.1,1.5,0.1,0.1,0.1,0.7,3.2,0.1,0.8,5.8,0.1,0.1,0.1,0.1,0.1,0.1,46.61,0,0,1.34,100707,19985,1602,Pumps,Normal,Normal,"Se evidencia un cambio de lubricante determinando niveles normales para
 operación tanto en desgaste de metales como en ingreso de contaminantes.
 Análisis fisicoquímico determina que viscosidad se mantiene estable
 en óptima operación.","Continuar con monitoreo de lubricante y componentes según plan de mantenimiento,
 verificar tendencias en próximo muestreo."
40110,18.6,0.2,0.6,17.8,5.6,0.2,0.1,0.9,0.1,0.1,0.1,0.1,4.2,0.9,2.9,9.4,0.1,0.2,2.8,0.1,0.4,0.1,45.87,0,5,2.1,175972,35857,1438,Pumps,Normal,Normal,"Tendencia de Viscosidad determina proceso de lubricación Lubricante ISO
 VG 46. Proceso de contaminación y desgaste mantiene estabilidad en
 tendencias por lo cual se evalúa normal.",Continuar con monitoreo de lubricante y componente según plan de mantenimiento.
41584,10.9,0.1,0.5,8.1,3.1,0.1,0.1,2.1,0.1,0.3,0.1,0.1,2.6,0.1,1.9,7.9,0.1,0.1,0.8,0.1,0.1,0.1,44.18,0,5,3.14,66324,12836,498,Pumps,Normal,Normal,"Las características determinadas a la muestra se encuentran entre los
 rangos permitidos para el servicio. Manteniendo grado de viscosidad estable
 similar a un ISO VG 46, con niveles de oxidación aceptables. Evidenciando
 un buen proceso de lubricación.","Continuar con monitoreo según plan de mantenimiento para ver tendencias
 en desgaste y contaminación."
44097,24.8,0.4,2.3,4.5,3.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,6.7,1.9,8.1,8.8,0.2,0.1,14.1,0.1,0.4,0.1,44.71,0,20,1.64,251923,34960,480,Pumps,Normal,Normal,"Las características determinadas a la muestra se encuentran entre los
 rangos permitidos para el servicio. Evidenciando un buen proceso de lubricación.","Continuar con monitoreo según plan de mantenimiento para evaluar tendencias
 en desgaste y contaminación."
44100,4.9,0.1,0.5,11.2,6,0.3,0.1,1.1,0.1,0.1,0.3,0.1,0.9,0.6,5.5,4.4,0.1,0.1,0.6,0.1,0.1,0.1,44.82,0,0,1.74,170759,31676,1037,Pumps,Normal,Normal,"Se aprecia un cambio de lubricante, estabilizando tendencias de desgaste
 y contaminación a niveles normales de operación. Grado de viscosidad
 optimo para un Shell Turbo T 46.","Se sugiere mantener seguimiento según plan de mantenimiento, para evaluar
 tendencias en desgaste y contaminación."
46566,15.3,0.1,0.7,4.3,7.4,0.1,0.1,2.3,0.3,0.1,0.1,0.1,2.2,0.4,7,8.3,0.1,0.1,2,1,0.1,0.1,47.11,0,5,3.67,66079,8601,481,Pumps,Normal,Normal,"Se evidencia reducción parcial en tendencias en desgaste y contaminación
 por silicio, alcanzando niveles aceptables de operación, Grado de
 viscosidad optimo para un Shell Turbo T 46.","Se sugiere realizar seguimiento según plan de mantenimiento a las concentraciones
 de silicio en suspensión altamente abrasiva y poder descartar
 errores de muestreo."
50512,29.1,0.3,2.4,12.7,4.9,0.2,0.1,0.1,0.5,0.1,0.1,0.1,9.9,7.9,4.5,2.8,0.1,0.3,5.8,0.1,0.5,0.1,47.11,0,10,2.29,72814,12284,427,Pumps,Normal,Normal,"Desgaste de metales y contaminación se mantiene estable no visualizando
 restos de sílice y desgaste en tamaño que perjudique operación. Grado
 de viscosidad y oxidación normal en lubricante.","Mantener seguimiento de lubricante según plan de mantenimiento para evaluar
 tendencias en desgaste y contaminación. Monitorear incrementos
 de temperatura y vibraciones."
222045,3.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8,0.1,3.3,7,0.1,0.1,77.3,0.1,0.1,278,31.33,0,10,11.62,3543,1164,141,Pumps,Normal,Normal,"Niveles de desgaste y contaminaciones externas determinadas por espectrometría
 en tamaño y concentraciones admisibles para la operación, Grado
 de viscosidad con clasificación ISO VG 32.","Continuar con monitoreo tribológico según plan de mantenimiento, para
 evaluar tendencias en desgaste y contaminación."
49314,56.9,0.4,0.3,29.2,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.1,21.5,2.2,5.2,2.2,0.1,0.1,6.7,0.1,0.9,246,207.46,0,55,3.44,460128,51881,714,Pumps,Normal,Normal,"Se aprecia reducción parcial en tendencias de desgaste y contaminación
 externa entre límites permisibles para la operación, no detectando
 agua libre en suspensión, eventual cambio de aceite, características
 fisicoquímicas demuestran viscosidad estable para lubricante especificado.","Se sugiere Mantener seguimiento mecánico en tendencias según plan de
 mantenimiento."
